Instance, N, M, density %, max_deg, mean_deg, sd_deg, n_neg %, n_zero %, n_pos %, max_precision, mean_w, sd_w,interesting,toroidal
culberson13,3639,3429873,51.816,1994.000,1885.063,30.471,39.117,4,56.538,2,5.912,3.611,1,
culberson14,4220,9330,0.105,10.000,4.422,1.055,6.249,0,93.751,1,1.000,0.000,1,
culberson15,4878,21716,0.183,14.000,8.904,1.108,0.000,0,100.000,13,3.713,0.796,1,
culberson16,2767,16834,0.440,20.000,12.168,1.288,37.929,0,62.071,15,6.857,4.287,1,
culberson17,2767,16834,0.440,20.000,12.168,1.288,0.000,0,100.000,16,9416988244227.324,679041785044737.750,1,
culberson18,2106,24504,1.105,29.000,23.271,1.461,0.000,0,100.000,13,0.643,0.124,1,
culberson19,1203,3102,0.429,9.000,5.157,1.032,6.319,0,93.681,1,1.000,0.000,1,
culberson1,4456,19594,0.197,15.000,8.794,1.064,46.642,0,53.358,15,21.623,16.443,1,
culberson20,4438,14301,0.145,13.000,6.445,1.082,29.991,0,70.009,1,1.000,0.000,1,
culberson21,4332,18950,0.202,15.000,8.749,1.074,0.000,0,100.000,13,3.713,0.798,1,
culberson22,3732,25386,0.365,19.000,13.605,1.195,0.000,0,100.000,2,4.000,0.000,1,
culberson23,4748,34309,0.304,21.000,14.452,1.237,0.000,0,100.000,12,8.052,0.622,1,
culberson24,3105,12136,0.252,13.000,7.817,1.212,0.000,0,100.000,2,21.028,11.803,1,
culberson25,2000,3956,0.198,11.000,3.956,1.106,0.000,0,100.000,12,1.682,1.401,1,
culberson26,4997,11279,0.090,11.000,4.514,1.064,0.000,0,100.000,12,1.449,0.700,1,
culberson27,3246,8065,0.153,12.000,4.969,1.036,0.000,0,100.000,12,6.228,0.578,1,
culberson28,1296,2438,0.291,8.000,3.762,1.046,0.000,0,100.000,12,1.451,0.736,1,
culberson29,1265,267102,33.409,474.000,422.296,16.942,7.155,1,91.838,2,42.066,27.432,1,
culberson2,3048,7419,0.160,11.000,4.868,1.085,1.240,0,98.760,14,40.364,17.266,1,
culberson30,4683,72643,0.663,37.000,31.024,1.629,38.956,4,56.674,2,5.925,3.612,1,
culberson31,2522,7385,0.232,12.000,5.856,1.054,0.000,0,100.000,3,52.809,27.742,1,
culberson32,1583,3535,0.282,9.000,4.466,1.041,0.000,0,100.000,14,41.366,23.716,1,
culberson33,3983,12644,0.159,13.000,6.349,1.069,46.220,0,53.780,15,21.575,16.410,1,
culberson34,2217,12881,0.524,18.000,11.620,1.224,29.710,0,70.290,1,1.000,0.000,1,
culberson35,2854,34206,0.840,32.000,23.971,1.752,0.000,0,100.000,15,0.249,0.120,1,
culberson36,3656,7929,0.119,11.000,4.338,1.070,0.000,0,100.000,13,0.536,0.159,1,
culberson37,3361,10346,0.183,12.000,6.157,1.053,0.000,0,100.000,2,7.000,0.000,1,
culberson38,3343,13807,0.247,13.000,8.260,1.062,0.000,0,100.000,15,0.000,0.000,1,
culberson39,3054,9145,0.196,12.000,5.989,1.097,37.671,0,62.329,15,6.878,4.302,1,
culberson3,1635,5717,0.428,13.000,6.993,1.129,0.000,0,100.000,2,26.067,11.304,1,
culberson40,4517,32304,0.317,20.000,14.303,1.222,0.000,0,100.000,2,2.000,0.000,1,
culberson41,1015,2501,0.486,9.000,4.928,1.053,0.000,0,100.000,2,4.000,0.000,1,
culberson42,2332,27470,1.011,30.000,23.559,1.547,0.000,0,100.000,15,0.249,0.120,1,
culberson43,4563,11846,0.114,11.000,5.192,1.081,76.169,0,23.831,1,1.000,0.000,1,
culberson44,2915,7045,0.166,13.000,4.834,1.074,0.000,0,100.000,2,4.000,0.000,1,
culberson45,2854,34206,0.840,32.000,23.971,1.752,4.078,2,93.811,2,22.551,14.273,1,
culberson46,2957,170454,3.900,129.000,115.288,3.807,75.491,0,24.509,1,1.000,0.000,,
culberson47,3935,280033,3.618,157.000,142.329,3.976,8.285,1,90.678,2,40.273,26.570,1,
culberson48,1843,19572,1.153,27.000,21.239,1.528,0.000,0,100.000,2,2.000,0.000,1,
culberson49,1290,300727,36.171,520.000,466.243,17.254,0.000,0,100.000,12,1.705,1.461,1,
culberson4,2939,37233,0.862,31.000,25.337,1.620,7.160,0,91.851,2,42.059,27.374,1,
culberson50,2903,37967,0.901,31.000,26.157,1.512,0.000,0,100.000,15,41.519,23.873,1,
culberson51,4457,19230,0.194,15.000,8.629,1.144,33.021,0,66.979,16,6.640,4.408,1,
culberson52,1583,3535,0.282,9.000,4.466,1.041,0.000,0,100.000,12,1.669,1.232,1,
culberson53,2915,7045,0.166,13.000,4.834,1.074,0.000,0,100.000,13,0.644,0.124,1,
culberson54,1729,9501,0.636,16.000,10.990,1.132,37.733,0,62.267,15,6.869,4.297,1,
culberson55,3817,11797,0.162,12.000,6.181,1.134,4.340,2,93.498,2,22.309,14.278,1,
culberson56,2965,4338923,98.744,2949.000,2926.761,6.240,0.000,0,100.000,16,41.492,23.958,1,
culberson57,2767,16834,0.440,20.000,12.168,1.288,0.000,0,100.000,16,9416988244227.324,679041785044737.750,1,
culberson58,2025,4079,0.199,10.000,4.029,0.993,0.000,0,100.000,12,1.665,1.206,1,
culberson59,2217,12881,0.524,18.000,11.620,1.224,55.275,0,44.725,1,1.000,0.000,1,
culberson5,1175,75351,10.925,165.000,128.257,10.944,0.000,0,100.000,12,1.653,1.360,1,
culberson60,4448,31517,0.319,19.000,14.171,1.220,0.000,0,100.000,15,0.249,0.120,1,
culberson61,4448,31517,0.319,19.000,14.171,1.220,4.077,2,93.816,2,22.536,14.260,1,
culberson62,1265,267102,33.409,474.000,422.296,16.942,8.283,1,90.673,2,40.275,26.576,1,
culberson63,2594,3082288,91.650,2420.000,2376.475,12.756,0.000,0,100.000,2,2.000,0.000,,
culberson64,4231,18409,0.206,15.000,8.702,1.085,0.000,0,100.000,12,2.288,4.623,1,
culberson65,2447,4981,0.166,12.000,4.071,1.099,37.242,0,62.758,15,6.865,4.333,1,
culberson66,2157,1461044,62.834,1417.000,1354.700,24.817,0.000,0,100.000,12,8.057,0.621,1,
culberson67,3144,177229,3.587,129.000,112.741,4.179,0.000,0,100.000,2,46.954,25.710,1,
culberson68,4630,20238,0.189,15.000,8.742,1.117,70.323,0,29.677,1,1.000,0.000,1,
culberson69,3341,8181,0.147,11.000,4.897,1.089,0.000,0,100.000,15,0.249,0.144,1,
culberson6,4563,11846,0.114,11.000,5.192,1.081,0.000,0,100.000,2,26.086,11.299,1,
culberson70,4457,19230,0.194,15.000,8.629,1.144,0.000,0,100.000,16,0.001,0.014,1,
culberson71,3113,19917,0.411,17.000,12.796,1.230,0.000,0,100.000,2,7.000,0.000,1,
culberson72,1025,2143,0.408,8.000,4.181,1.012,6.253,0,93.747,1,1.000,0.000,1,
culberson73,1296,2438,0.291,8.000,3.762,1.046,75.841,0,24.159,1,1.000,0.000,1,
culberson74,4767,12507,0.110,11.000,5.247,1.042,0.000,0,100.000,13,0.644,0.123,1,
culberson75,1025,2143,0.408,8.000,4.181,1.012,0.000,0,100.000,13,3.693,0.791,1,
culberson76,3817,11797,0.162,12.000,6.181,1.134,8.239,0,90.794,2,40.276,26.529,1,
culberson77,2669,5592,0.157,10.000,4.190,1.012,0.000,0,100.000,13,0.537,0.159,1,
culberson78,3711,8034,0.117,11.000,4.330,1.058,6.597,1,92.357,2,42.152,27.313,1,
culberson79,4300,11031,0.119,12.000,5.131,1.071,55.063,0,44.937,1,1.000,0.000,1,
culberson7,3773,9582,0.135,11.000,5.079,1.060,32.363,0,67.637,15,8.845,5.897,1,
culberson80,3054,9145,0.196,12.000,5.989,1.097,0.000,0,100.000,16,11514352941227.551,874750332983405.750,1,
culberson81,2713,10662,0.290,14.000,7.860,1.068,0.000,0,100.000,12,1.448,0.698,1,
culberson82,4457,11517,0.116,11.000,5.168,1.082,0.000,0,100.000,16,19.130,18.310,1,
culberson83,2085,12117,0.558,16.000,11.623,1.160,0.000,0,100.000,2,26.072,11.280,1,
culberson84,3711,8034,0.117,11.000,4.330,1.058,38.163,4,57.468,2,5.950,3.643,1,
culberson85,4794,1979284,17.228,929.000,825.734,26.585,30.290,0,69.710,16,19.771,14.763,1,
culberson86,4448,31517,0.319,19.000,14.171,1.220,0.000,0,100.000,2,21.057,11.753,1,
culberson87,4457,11517,0.116,11.000,5.168,1.082,0.000,0,100.000,3,52.710,27.708,1,
culberson88,4457,11517,0.116,11.000,5.168,1.082,0.000,0,100.000,16,0.249,0.143,1,
culberson89,4457,11517,0.116,11.000,5.168,1.082,0.000,0,100.000,16,19.130,18.310,1,
culberson8,4220,9330,0.105,10.000,4.422,1.055,29.743,0,70.257,1,1.000,0.000,1,
culberson90,3620,7796,0.119,10.000,4.307,1.055,0.000,0,100.000,2,20.902,11.844,1,
culberson91,4683,72643,0.663,37.000,31.024,1.629,30.267,0,69.733,16,19.817,14.821,1,
culberson92,2718,2381667,64.502,1848.000,1752.514,25.366,30.255,0,69.745,16,19.769,14.759,1,
culberson93,4794,1979284,17.228,929.000,825.734,26.585,30.150,0,69.850,1,1.000,0.000,1,
culberson94,2190,23788,0.992,29.000,21.724,1.688,0.000,0,100.000,13,0.538,0.161,1,
culberson95,2771,130968,3.413,108.000,94.528,4.166,70.235,0,29.765,1,1.000,0.000,,
culberson96,1077,2258,0.390,8.000,4.193,1.049,1.373,0,98.627,14,40.710,17.478,1,
culberson97,3499,23474,0.384,19.000,13.418,1.169,32.359,0,67.641,15,8.751,5.879,1,
culberson98,2866,2549138,62.090,1864.000,1778.882,25.949,0.000,0,100.000,12,6.240,0.576,1,
culberson99,2950,36286,0.834,31.000,24.601,1.724,0.000,0,100.000,3,52.485,27.752,1,
culberson9,1915,4413,0.241,9.000,4.609,1.031,0.000,0,100.000,16,4074721634599.302,174028219385522.062,1,
g000001,5588,4749800,30.428,1801.000,1700.000,25.856,0.000,0,100.000,13,3.265,0.636,1,
g000002,200,370,1.859,4.000,3.700,0.500,0.000,0,100.000,4,744.470,428.210,1,
g000003,1000,9990,2.000,36.000,19.980,4.424,0.000,0,100.000,1,1.000,0.000,1,
g000004,150,3303,29.557,56.000,44.040,5.250,50.197,0,49.803,2,25.220,14.440,1,
g000005,640,960,0.469,13.000,3.000,1.647,0.000,0,100.000,3,102.726,19.210,1,
g000006,3031,5239,0.114,4.000,3.457,0.627,0.000,0,100.000,2,8.825,3.995,1,
g000007,80,1580,50.000,51.000,39.500,4.304,0.000,0,100.000,1,1.000,0.000,,
g000008,2000,5800,0.290,14.000,5.800,6.048,0.000,0,100.000,4,1000.000,0.000,,
g000009,806,1612,0.497,4.000,4.000,0.000,0.000,0,100.000,12,1.979,2.241,1,1
g000010,186,3973,23.092,159.000,42.720,31.367,0.000,0,100.000,1,1.000,0.000,,
g000011,1598,1750,0.137,4.000,2.190,0.611,0.000,0,100.000,4,178.939,140.135,1,
g000012,852,55021,15.177,160.000,129.157,10.183,0.000,0,100.000,12,16.507,6.640,1,
g000013,100,297,6.000,11.000,5.940,2.172,0.000,0,100.000,5,50896.983,28346.721,1,
g000014,1000,50000,10.010,124.000,100.000,6.546,0.000,0,100.000,14,13.744,8.106,1,
g000015,5345,9559404,66.934,3704.000,3576.952,34.291,32.281,0,67.719,16,16.117,12.083,1,
g000016,640,40896,20.000,158.000,127.800,9.961,0.000,0,100.000,3,102.220,17.182,1,
g000017,1000,87326,17.483,734.000,174.652,100.200,0.000,0,100.000,12,15.777,4.675,1,
g000018,640,4135,2.022,23.000,12.922,3.471,0.000,0,100.000,3,102.501,17.985,1,
g000019,614,76024,40.397,613.000,247.635,176.293,0.000,0,100.000,16,0.013,0.013,1,
g000020,667,22011,9.910,87.000,66.000,5.543,0.000,0,100.000,1,3.000,0.000,1,
g000021,861,175644,47.442,449.000,408.000,11.744,0.219,0,99.781,15,29.280,14.513,1,
g000022,28,126,33.333,9.000,9.000,0.000,0.000,0,100.000,1,1.000,0.000,,
g000023,100,4950,100.000,99.000,99.000,0.000,45.697,8,46.081,6,1362.294,10270.587,1,
g000024,173,298,2.003,5.000,3.445,1.039,0.000,0,100.000,6,28526.956,45059.658,1,
g000025,80,160,5.063,10.000,4.000,1.830,0.000,0,100.000,3,150.625,60.219,,
g000026,874,493,0.129,22.000,1.128,1.650,0.000,0,100.000,16,0.014,0.013,1,
g000027,2000,4000,0.200,4.000,4.000,0.000,49.725,0,50.275,1,1.000,0.000,1,1
g000028,30,45,10.345,3.000,3.000,0.000,0.000,0,100.000,1,1.000,0.000,,
g000029,640,1280,0.626,15.000,4.000,2.036,0.000,0,100.000,3,150.006,61.081,1,
g000030,770,148003,49.990,761.000,384.423,190.060,0.000,0,100.000,12,40.041,15.751,1,
g000031,4803,7933578,68.796,3818.000,3303.593,189.116,0.000,0,100.000,13,10.519,4.156,1,
g000032,1976,3836,0.197,12.000,3.883,0.968,0.000,0,100.000,7,91505.470,288280.340,1,
g000033,80,632,20.000,26.000,15.800,3.415,0.000,0,100.000,3,119.028,41.483,,
g000034,807,48420,14.888,120.000,120.000,0.000,0.000,0,100.000,16,0.028,0.028,1,
g000035,125,375,4.839,6.000,6.000,0.000,49.867,0,50.133,1,1.000,0.000,1,
g000036,40,240,30.769,12.000,12.000,0.000,0.000,0,100.000,1,1.000,0.000,,
g000037,716,11456,4.476,46.000,32.000,3.887,0.000,0,100.000,15,7.909,6.102,1,
g000038,60,885,50.000,37.000,29.500,4.113,0.000,0,100.000,1,1.000,0.000,,
g000039,4186,7074,0.081,4.000,3.380,0.619,0.000,0,100.000,2,8.696,3.987,1,
g000040,250,3218,10.339,38.000,25.744,5.109,0.000,0,100.000,1,1.000,0.000,1,
g000041,718,83286,32.356,620.000,231.994,98.522,0.000,0,100.000,16,0.018,0.018,1,
g000042,636,18561,9.192,99.000,58.368,20.354,0.000,0,100.000,2,38.628,18.556,,
g000043,120,2064,28.908,48.000,34.400,5.121,48.062,0,51.938,2,25.486,14.599,,
g000044,4617,9234,0.087,4.000,4.000,0.000,0.000,0,100.000,12,4.504,0.776,1,1
g000045,640,4135,2.022,24.000,12.922,3.422,0.000,0,100.000,3,115.836,38.475,1,
g000046,770,53900,18.205,162.000,140.000,6.962,0.000,0,100.000,12,18.613,2.197,1,
g000047,320,51040,100.000,319.000,319.000,0.000,0.000,0,100.000,3,149.519,61.374,1,
g000048,640,1280,0.626,11.000,4.000,1.949,0.000,0,100.000,3,151.508,60.819,1,
g000049,2048,11264,0.537,11.000,11.000,0.000,0.000,0,100.000,1,1.000,0.000,,
g000050,200,3927,19.734,56.000,39.270,5.386,49.478,0,50.522,2,25.673,14.555,1,
g000051,50,137,11.184,10.000,5.480,1.857,47.445,0,52.555,2,48.861,26.303,,
g000052,3000,24065,0.535,29.000,16.043,3.953,0.000,0,100.000,1,2.338,1.245,1,
g000053,126,182,2.311,4.000,2.889,0.769,0.000,0,100.000,7,689356.038,527751.167,1,
g000054,640,4135,2.022,24.000,12.922,3.422,0.000,0,100.000,3,115.836,38.475,1,
g000055,43,44,4.873,3.000,2.047,0.746,0.000,0,100.000,7,945005.841,554251.629,,
g000056,133,169,1.925,4.000,2.541,0.897,0.000,0,100.000,2,5.462,3.622,1,
g000057,3208,1478700,28.746,3207.000,921.883,923.265,0.000,0,100.000,15,7.675,4.562,1,
g000059,29,203,50.000,14.000,14.000,0.000,0.000,0,100.000,1,1.000,0.000,,
g000060,618,164056,86.050,580.000,530.926,26.408,0.000,0,100.000,12,18.315,1.149,1,
g000061,80,632,20.000,24.000,15.800,3.579,0.000,0,100.000,3,147.139,61.089,,
g000062,1804,3311,0.204,4.000,3.671,0.525,0.000,0,100.000,2,8.926,3.997,1,
g000063,311,579,1.201,5.000,3.723,0.642,0.000,0,100.000,6,8131.060,27281.640,1,
g000064,3863,29293,0.393,153.000,15.166,21.684,0.000,0,100.000,7,6.243,0.000,1,
g000065,640,40896,20.000,162.000,127.800,10.202,0.000,0,100.000,3,102.393,17.518,1,
g000066,450,8260,8.176,128.000,36.711,23.008,0.000,0,100.000,1,1.000,0.000,1,
g000067,585,146206,85.591,554.000,499.850,25.155,0.000,0,100.000,12,19.694,6.312,1,
g000068,4221,7255,0.081,4.000,3.438,0.614,0.000,0,100.000,2,8.880,3.997,1,
g000069,609,9582,5.176,61.000,31.468,15.915,0.000,0,100.000,16,103909.644,9084770.974,1,
g000070,1000,200000,40.040,440.000,400.000,8.060,0.000,0,100.000,14,0.384,0.130,1,
g000071,2380,4760,0.168,4.000,4.000,0.000,0.000,0,100.000,12,1.357,0.485,1,1
g000073,713,1426,0.562,4.000,4.000,0.000,99.158,0,0.842,1,1.000,0.000,,1
g000074,5700,11400,0.070,4.000,4.000,0.000,0.000,0,100.000,12,22.093,8.531,1,1
g000075,2629,3793,0.110,4.000,2.886,0.747,0.000,0,100.000,6,132337.314,105758.691,1,
g000076,506,23782,18.614,110.000,94.000,6.103,16.609,0,83.391,16,10.900,7.612,1,
g000077,599,104621,58.415,386.000,349.319,12.523,0.000,0,100.000,12,33.522,16.473,1,
g000078,3626,5869,0.089,4.000,3.237,0.682,0.000,0,100.000,2,8.837,3.995,1,
g000079,5973,7681278,43.068,2688.000,2572.000,30.138,0.000,0,100.000,14,0.529,0.118,1,
g000080,400,3222,4.038,27.000,16.110,3.902,0.000,0,100.000,1,2.354,1.237,1,
g000081,859,73862,20.043,211.000,171.972,11.511,0.000,0,100.000,16,0.026,0.025,1,
g000082,109,133,2.260,4.000,2.440,0.795,0.000,0,100.000,7,674524.098,545184.841,1,
g000083,4916,5854956,48.464,2484.000,2382.000,27.676,0.000,0,100.000,12,21.499,7.792,1,
g000086,671,61732,27.463,213.000,184.000,8.798,0.000,0,100.000,2,11.003,2.584,1,
g000087,38418,71657,0.010,4.000,3.730,0.454,0.000,0,100.000,3,56.169,42.226,1,
g000088,320,640,1.254,11.000,4.000,2.054,0.000,0,100.000,3,106.964,25.882,1,
g000089,4138,2097149,24.501,1221.000,1013.605,44.313,51.570,0,48.430,1,1.000,0.000,1,
g000090,1000,3000,0.601,6.000,6.000,0.000,50.000,0,50.000,1,1.000,0.000,1,
g000091,2500,3125,0.100,11.000,2.500,1.571,0.000,0,100.000,2,5.612,2.894,1,
g000092,320,1845,3.615,24.000,11.531,3.426,0.000,0,100.000,3,120.646,43.808,1,
g000093,1644,442236,32.745,586.000,538.000,13.437,0.000,0,100.000,13,6.287,1.226,1,
g000094,80,120,3.797,9.000,3.000,1.696,0.000,0,100.000,3,113.817,33.462,1,
g000095,640,4135,2.022,27.000,12.922,3.554,0.000,0,100.000,3,102.842,18.948,1,
g000097,157,266,2.172,4.000,3.389,0.604,0.000,0,100.000,3,54.466,43.512,1,
g000098,564,43146,27.176,153.000,153.000,0.000,53.646,0,46.354,1,1.000,0.000,1,
g000099,450,8263,8.179,111.000,36.724,21.099,0.000,0,100.000,1,1.000,0.000,1,
g000100,1250,2341,0.300,8.000,3.746,3.829,0.000,0,100.000,6,1478.001,3365.715,1,
g000101,2048,11264,0.537,11.000,11.000,0.000,0.000,0,100.000,1,1.000,0.000,,
g000102,150,8791,78.667,131.000,117.213,5.637,48.720,0,51.280,2,25.689,14.411,,
g000103,2046,4092,0.196,4.000,4.000,0.000,0.000,0,100.000,2,10.000,0.000,1,1
g000104,640,1280,0.626,12.000,4.000,1.941,0.000,0,100.000,3,102.637,18.015,1,
g000105,2763,4038,0.106,4.000,2.923,0.751,0.000,0,100.000,6,130683.338,103052.656,1,
g000106,2000,5934,0.297,143.000,5.934,8.229,37.327,0,62.673,15,36.004,27.454,1,
g000107,6466,11046,0.053,4.000,3.417,0.605,0.000,0,100.000,2,8.704,3.988,1,
g000108,5465,6962410,46.633,2644.000,2548.000,29.700,0.000,0,100.000,12,14.750,4.579,1,
g000109,2499,618227,19.807,605.000,494.780,21.667,0.000,0,100.000,12,79.749,19350.394,1,
g000110,552,1131,0.744,5.000,4.098,0.543,0.000,0,100.000,6,14859.498,35544.218,1,
g000111,125,7666,98.916,124.000,122.656,1.059,100.000,0,0.000,3,50.522,28.699,,
g000112,1024,5120,0.978,10.000,10.000,0.000,0.000,0,100.000,1,1.000,0.000,,
g000113,3667,336595,5.008,344.000,183.581,106.696,0.000,0,100.000,12,8.052,0.755,1,
g000115,640,960,0.469,11.000,3.000,1.752,0.000,0,100.000,3,115.322,38.875,1,
g000116,143,184,1.812,4.000,2.573,0.789,0.000,0,100.000,7,552946.310,408397.414,1,
g000117,4000,32119,0.402,32.000,16.059,3.997,0.000,0,100.000,1,2.342,1.248,1,
g000118,6334,8283324,41.300,3097.000,2615.511,127.784,0.000,0,100.000,12,14.836,1.640,1,
