graphname clust_min clust_max clust_mean clust_stdev clust_const deg_min deg_max deg_mean deg_stdev deg_const percent_pos weight_min weight_max weight_mean weight_stdev weight_const chromatic disconnected assortativity avg_neighbor_deg_min avg_neighbor_deg_max avg_neighbor_deg_mean avg_neighbor_deg_stdev avg_neighbor_deg_const avg_deg_conn_min avg_deg_conn_max avg_deg_conn_mean avg_deg_conn_stdev avg_deg_conn_const core_min core_max core_mean core_stdev core_const mis clust_log_kurtosis deg_log_kurtosis weight_log_kurtosis avg_neighbor_deg_log_kurtosis avg_deg_conn_log_kurtosis core_log_kurtosis clust_log_abs_skew deg_log_abs_skew weight_log_abs_skew avg_neighbor_deg_log_abs_skew avg_deg_conn_log_abs_skew core_log_abs_skew clust_skew_positive deg_skew_positive weight_skew_positive avg_neighbor_deg_skew_positive avg_deg_conn_skew_positive core_skew_positive log_n log_m log_norm_ev1 log_norm_ev2 log_ev_ratio density_%_*_1000 permutation_1 permutation_2 permutation_3
be250.5 0,136364 0,213235 0,170524 0,0226354 0 0,06 1 0,107219 0,0592314 0 0,499108 -1 0,85061 0,000717485 0,102797 0 0,0478088 0 -0,0454499 0,103648 176 0,142339 0,00799367 0 0,103648 176 0,143266 0,0140446 0 0,06 76 0,0755378 0,00191699 0 0,143426 1,15106 5,33106 3,0632 1,92306 1,71088 3,41652 0,333822 2,68283 0,086462 0,314118 0,183931 1,77035 1 1 0 1 0 0 5,52545 8,12089 6,42713 4,95 1,47713 10722 1060 2614 1417
be2500.1 0,104157 0,109644 0,106517 0,00161853 0 0,0828 1 0,100111 0,0189958 0 0,498088 -0,960484 1 0,000180669 0,0325171 0 0,0235906 0 -0,00478696 0,0997507 0,105297 0,103743 0,000430811 0 0,0997507 0,105225 0,103697 0,000591917 0 0,0828 86 0,0859784 0,000183739 0 0,0231907 1,15102 7,60829 5,17195 1,92201 3,15687 4,84755 0,385325 3,77292 1,14619 0,195656 1,35937 2,44016 1 1 1 0 0 0 7,82445 12,6539 7,97406 5,6022 2,37186 10011 2456 6 1996
be2500.10 0,102064 0,109222 0,105973 0,00182116 0 0,0812 1 0,0996849 0,0189966 0 0,498392 -0,91038 1 0,000152917 0,0305447 0 0,0235906 0 -0,00479644 0,0993248 0,105174 0,103333 0,000435469 0 0,0993248 0,104737 0,103295 0,000588999 0 0,0812 0,0856 0,0855707 0,000239633 0 0,0215914 1,24288 7,61 5,16119 1,9367 3,16736 5,04262 0,101996 3,77412 1,38734 0,154596 1,40069 2,50574 0 1 1 0 0 0 7,82445 12,6496 7,87399 5,55101 2,32298 9968 660 72 1475
be2500.2 0,102554 0,111888 0,106391 0,00175722 0 0,0804 1 0,0997118 0,0189801 0 0,498759 -0,853904 1 0,000165592 0,0312796 0 0,0239904 0 -0,00482334 0,0993517 0,104789 0,103354 0,000444591 0 0,0993517 0,104705 0,103337 0,000621648 0 0,0804 86 0,0859749 0,000273019 0 0,0235906 1,84683 7,61337 5,12288 1,84602 3,0276 5,54914 0,656374 3,77662 1,23022 0,142391 1,29969 2,77038 1 1 1 0 0 0 7,82445 12,6499 7,9024 5,55009 2,3523 9971 1635 1157 548
be2500.3 0,103364 0,111044 0,106453 0,00196687 0 0,0768 1 0,0995845 0,0189695 0 0,499827 -0,897521 1 0,0000741009 0,0301241 0 0,0235906 0 -0,00479732 0,0992243 0,104759 0,103226 0,000429397 0 0,0992243 0,104414 0,103215 0,000593538 0 0,0768 0,0856 0,0855722 0,000307901 0 0,0227909 1,33608 7,61615 5,07086 1,92275 3,20832 6,09061 0,329249 3,77859 0,982996 0,179803 1,43802 2,98731 1 1 1 0 0 0 7,82445 12,6486 7,21687 4,92076 2,29611 9958 103 1810 1897
be2500.4 0,10159 0,110263 0,106199 0,00212162 0 0,0784 1 0,0997022 0,018933 0 0,497372 -0,96381 1 0,000172785 0,0321817 0 0,0235906 0 -0,00473525 0,0993421 0,104924 0,103324 0,000414667 0 0,0993421 0,104513 0,103287 0,000573473 0 0,0784 86 0,0859733 0,000311203 0 0,0231907 1,26465 7,62333 5,1046 1,96884 3,25682 5,85098 0,221917 3,7839 1,32203 0,189518 1,44 2,89125 0 1 1 0 0 0 7,82445 12,6498 7,93751 5,58176 2,35575 9970 257 810 1573
be2500.5 0,102669 0,109087 0,106753 0,00159351 0 0,0792 1 0,0997559 0,0189767 0 0,498451 -0,804962 1 0,000139874 0,0263298 0 0,0235906 0 -0,00478068 0,0993958 0,105164 0,103394 0,000426379 0 0,0993958 0,105164 0,103365 0,000621284 0 0,0792 86 0,0859672 0,000345897 0 0,0243902 1458 7,61387 5,1637 1,94245 2,99149 5,38287 0,567384 3,77698 1,28437 0,17577 1,23299 2,69303 0 1 1 0 0 0 7,82445 12,6503 7,90474 5,55491 2,34983 9976 385 1382 1782
be2500.6 0,101724 0,110993 0,106615 0,00191143 0 0,0776 1 0,0995458 0,0189793 0 0,498282 -1 0,943861 0,000138176 0,0300897 0 0,0235906 0 -0,00477952 0,0991856 0,104582 0,103192 0,000432252 0 0,0991856 0,104582 0,103193 0,000604838 0 0,0776 86 0,0859607 0,000315892 0 0,0231907 1,58427 7,61426 5,14892 1,89382 3,1252 5,77477 0,0365401 3,77727 0,88534 0,212378 1,31725 2,82863 1 1 1 0 0 0 7,82445 12,6482 7,78109 5,49351 2,28758 9955 2163 146 1681
be2500.7 0,102585 0,10874 0,106237 0,00161787 0 82 1 0,0999587 0,0189578 0 0,498086 -0,876051 1 0,000147237 0,0312428 0 0,0239904 0 -0,00477419 0,0995987 0,105041 0,103582 0,000432816 0 0,0995987 0,1047 0,103545 0,000579403 0 82 0,0868 0,0867603 0,000309095 0 0,0235906 1,22693 7,61696 5,15273 1,89184 3,23146 4,7061 0,0860659 3,77926 1,18388 0,176582 1,44917 2,37762 0 1 1 0 0 0 7,82445 12,6523 7,80422 5,50813 2,29609 9996 1290 1044 32
be2500.8 0,102635 0,108531 0,105694 0,00143694 0 0,0792 1 0,0996648 0,0189745 0 0,497915 -0,853992 1 0,000120938 0,0279324 0 0,0235906 0 -0,00480153 0,0993046 0,10538 0,103306 0,00043329 0 0,0993046 0,104637 0,103286 0,000616154 0 0,0792 86 0,0859642 0,000339338 0 0,0231907 1,19913 7,61474 5,09311 1,90881 2999 5,09485 0,180525 3,77764 1,07028 0,167315 1,28875 2,55018 0 1 1 0 0 0 7,82445 12,6494 7,72036 5,45707 2,26329 9966 822 2139 695
be2500.9 0,10496 0,112235 0,107175 0,00159612 0 0,0796 1 0,0998768 0,0189419 0 0,498338 -0,834798 1 0,000132665 0,0297029 0 0,0239904 0 -0,00477453 0,0995168 0,105044 0,103497 0,000429395 0 0,0995168 0,104593 0,103469 0,000619543 0 0,0796 0,0864 0,0863637 0,000325526 0 0,0215914 1,78096 7,62069 5,16758 1,91332 2,98808 5,23362 0,728576 3,78198 1,15623 0,163751 1,30808 2605 1 1 1 0 0 0 7,82445 12,6515 7,76014 5,48751 2,27263 9988 2123 2276 1862
be500.4 0,118182 0,146341 0,134996 0,00677225 0 62 1 0,102036 0,0422108 0 0,490532 -0,812414 1 0,00100513 0,0655315 0 0,0379242 0 -0,0236611 0,10024 0,131613 0,120178 0,00324426 0 0,10024 0,131613 0,120226 0,00550694 0 62 78 0,0777285 0,0014318 0 0,0898204 1,37334 6,01571 3,58409 1,87349 1,91831 3,98064 0,532567 3,00589 1,08437 0,00280774 0,662949 2,02166 0 1 1 0 0 0 6,21661 9,45564 7,37262 5,21641 2,15622 10204 1491 1912 2217
be500.6 0,121418 0,160962 0,135838 0,0095492 0 68 1 0,102339 0,0421713 0 0,50234 -0,660353 1 0,0000566643 0,0637506 0 0,0379242 0 -0,0234622 0,100544 0,132882 0,120364 0,00312301 0 0,100544 0,130015 0,119577 0,00511841 0 68 78 0,0777884 0,0010848 0 0,0778443 1,44149 6,0181 3,55408 1,9512 2,00245 4,07128 0,616077 3,00795 0,146168 0,180773 0,695396 2,07632 1 1 1 0 0 0 6,21661 9,45861 5,99343 5,64756 0,345865 10234 1104 645 593
be500.7 0,123412 0,142857 0,133372 0,00625626 0 66 1 0,10305 0,0422507 0 0,502441 -1 0,921849 -0,00000475281 0,0834225 0 0,0379242 0 -0,0235242 0,101256 0,132606 0,121038 0,00323609 0 0,101256 0,131439 0,120324 0,00517748 0 66 78 0,0777645 0,00131338 0 0,0898204 0,961081 6,00745 3,44261 1,91209 1,96711 4,05076 0,0561236 3,00027 0,0617269 0,127396 0,64541 2,07653 0 1 0 1 0 0 6,21661 9,46553 5,88654 4,54516 1,34138 10305 2534 205 1806
be500.8 0,115646 0,158187 0,133435 0,0120555 0 58 1 0,102004 0,0423973 0 0,494364 -0,754839 1 0,000756964 0,0601697 0 0,0359281 0 -0,0238911 0,100208 0,131077 0,12032 0,00329581 0 0,100208 0,129586 0,120207 0,00509273 0 58 78 0,0777485 0,00140452 0 0,0898204 1,13521 5,99827 3,69501 1,85793 2,1174 4,54943 0,380148 2,99355 0,746107 0,00830778 0,788813 2,24027 1 1 1 1 0 0 6,21661 9,45532 7,17328 4,97967 2,19361 10200 1179 81 1399
be500.9 0,114935 0,155102 0,13335 0,00852339 0 64 1 0,102659 0,0420951 0 0,501011 -1 0,934799 0,000290978 0,0704954 0 0,0359281 0 -0,0233492 0,100864 0,131941 0,120568 0,00312183 0 0,100864 0,131941 0,120712 0,00542909 0 64 78 0,0777924 0,00116709 0 0,0878244 1,52008 6,0239 3,5634 1,92267 1,97086 4,22226 0,180631 3,01192 0,441036 0,120105 0,615105 2,12777 1 1 1 0 0 0 6,21661 9,46172 6,41631 4,73269 1,68362 10266 2463 2320 864
culberson1 0 0 0 0 1 0,0013468 0,003367 0,00197406 0,000238858 0 0,533582 -0,996509 1 0,0220981 0,261067 0 0,00157092 0 -0,16526 0,00173452 0,00243707 0,00200791 0,0000846352 0 0,00185559 0,00216673 0,00198378 0,0000949343 0 0,0013468 0,00157127 0,00157056 0,000012562 0 0,254488 0 1,54748 1,39219 1,48362 1,1803 5,75981 0 0,433354 0,0103186 0,298433 0,452268 2,93153 1 1 1 1 1 0 8,40201 9,88298 7,11179 3,79011 3,32168 197 2164 700 1631
culberson10 0 0 0 0 1 0,00067325 0,00246858 0,0011598 0,000242707 0 0,676999 -0,476093 1 0,267159 0,429295 0 0,00112183 0 -0,223876 0,000925718 0,00194494 0,00122324 0,00011556 0 0,000938469 0,00146153 0,00116578 0,000140576 0 0,00067325 0,000897666 0,000891624 0,0000363243 0 0,344178 0 1,64805 1,02336 1,66386 1,40074 3,58821 0 0,580392 0,00854037 0,54715 0,466126 1,92358 1 1 0 1 1 0 8,40223 9,35158 6,82535 3,04183 3,78351 116 1983 935 2251
culberson100 0 0 0 0 1 0,000898473 0,00314465 0,00146292 0,000236019 0 1 0,000039091 1 0,501609 0,286776 0 0,00134741 0 -0,183517 0,00127284 0,00196541 0,00150849 0,0000957998 0 0,00129958 0,0017201 0,00147562 0,000117319 0 0,000898473 0,00112309 0,00112203 0,0000153887 0 0,298675 0 1,69115 1,03424 1,4687 1,34414 5,35211 0 0,57535 0,00185473 0,380408 0,51196 2,73817 1 1 0 1 1 0 8,40133 9,58197 8,64448 4,30255 4,34193 146 1855 183 305
culberson101 0 0 0 0 1 0,000758438 0,00379219 0,00182249 0,000400924 0 1 0,0000301242 1 0,139176 0,131289 0 0,00189538 0 -0,232584 0,00139047 0,00290734 0,0019338 0,000196948 0 0,00167488 0,00246492 0,0019241 0,00025208 0 0,000758438 0,00113766 0,00113751 0,00000738193 0 0,352919 0 1,64861 2,11651 1,61045 1,34362 7,8774 0 0,584973 1,03285 0,546927 0,725721 3,95761 1 1 1 1 1 0 7,87778 8,75448 7,67687 4,09732 3,57955 182 114 448 1323
culberson102 0 0 0 0 1 0,001628 0,00529101 0,00300498 0,00048629 0 1 0,00100999 1 0,0461109 0,0521432 0 0,00244101 0 -0,186899 0,0026048 0,00417175 0,00309929 0,000189452 0 0,00278639 0,00401913 0,00311875 0,000340682 0 0,001628 0,002442 0,00241634 0,000101618 0 0,283157 0 1,5219 3652 1,56573 1,80047 2,93163 0 0,398927 1,65291 0,38712 0,989158 1,59028 1 1 1 1 1 0 7,8071 9,11317 -13,4763 -16,4259 2,94963 300 972 1285 2441
culberson103 0 0 0 0 1 0,00427046 0,00996441 0,0070415 0,000933381 0 0,303379 -1 1 -0,393242 0,919435 0 0,00497866 0 -0,158759 0,0061867 0,00830368 0,0071853 0,000300298 0 0,00680182 0,00830368 0,00727217 0,000442014 0 0,00427046 0,00569395 0,00566915 0,000133266 0 0,238976 0 1,38006 1,00493 1,38093 1,52936 3,50347 0 0,235396 0,6181 0,169713 0,780831 1,85541 1 1 1 1 1 0 7,2485 8,84722 3,63539 0,146969 3,48842 704 626 1007 1836
culberson104 0 0 0 0 1 0,00185874 0,00743494 0,00389696 0,000975194 0 0,66209 -0,498794 1 0,242125 0,436525 0 0,00371402 0 -0,235178 0,00309789 0,00697026 0,00420764 0,000513912 0 0,00358839 0,00562512 0,00421685 0,000641497 0 0,00185874 0,0027881 0,00277085 0,000125466 0 0,37883 0 1,57895 1,02486 1,71339 1,50691 3,96782 0 0,552223 0,0202245 0,630992 0,836545 2,09584 1 1 1 1 1 0 6,98193 7,72223 5,79033 2,87063 2,9197 390 701 2435 1114
culberson105 0 0 0 0 1 0,000892857 0,00357143 0,00183229 0,000313518 0 1 0,00000000189316 1 0,00170994 0,016552 0 0,00178518 0 -0,202595 0,00152116 0,00245536 0,00189776 0,000133885 0 0,0016121 0,00228175 0,00188576 0,00018757 0 0,000892857 0,0014881 0,00147773 0,0000550348 0 0,308242 0 1,59254 7,4277 1,53155 1,33599 3,4076 0 0,506347 3,57742 0,452734 0,588572 1,82717 1 1 1 1 1 0 8,11999 9,24436 -0,88672 -1,96784 1,08112 183 1800 2164 107
culberson106 0 0 0 0 1 0,000618047 0,00370828 0,00152058 0,000333876 0 1 0,426477 1 0,84268 0,0648769 0 0,00154464 0 -0,224965 0,00113309 0,0025752 0,00161254 0,000163975 0 0,00128245 0,00208591 0,00158503 0,000225308 0 0,000618047 0,00123609 0,00120726 0,0000905327 0 0,348162 0 1,66178 1,66522 1,61795 1,40817 2,3575 0 0,5614 0,601426 0,550916 0,687387 1,3533 1 1 0 1 1 0 8,0824 8,98269 6,82623 2,60423 4222 152 2 1526 2034
culberson107 0 0 0 0 1 0,00100482 0,00321543 0,0017719 0,000236183 0 1 0,000321462 1 0,278591 0,160561 0 0,00140647 0 -0,169957 0,00156134 0,002291 0,00180895 0,0000845064 0 0,001614 0,002291 0,00182045 0,000180063 0 0,00100482 0,00140675 0,00140546 0,0000165599 0 0,255375 0 1,62599 1,4063 1,50731 1,7157 5,28444 0 0,496343 0,520145 0,358034 0,909625 2,66802 1 1 1 1 1 0 8,51258 9,99611 3,57565 -0,94175 4,5174 177 638 2301 1683
culberson108 0 0 0 0 1 0,0013468 0,003367 0,00197406 0,000238858 0 1 0,032967 1 0,513173 0,282751 0 0,00157092 0 -0,16526 0,00173452 0,00243707 0,00200791 0,0000846352 0 0,00185559 0,00216673 0,00198378 0,0000949343 0 0,0013468 0,00157127 0,00157056 0,000012562 0 0,254488 0 1,54748 1,03254 1,48362 1,1803 5,75981 0 0,433354 0,01637 0,298433 0,452268 2,93153 1 1 1 1 1 0 8,40201 9,88298 8,74562 4,2139 4,53172 197 1471 2497 2621
culberson11 0 0 0 0 1 0,000634719 0,0031736 0,0015437 0,000351647 0 1 0,372036 1 0,812062 0,075332 0 0,00158629 0 -0,228283 0,00120597 0,00253888 0,00164431 0,000175596 0 0,00135671 0,00253888 0,00167379 0,000340248 0 0,000634719 0,000952079 0,000951978 0,00000565184 0 0,354378 0 1,63012 1,56039 1,59237 1,75745 8,05548 0 0,571319 0,510742 0,531779 0,985683 4,04508 1 1 0 1 1 0 8,05579 8,94455 6,55813 2,3685 4,18963 154 713 2051 649
culberson12 0 0 0 0 1 0,000634719 0,0031736 0,0015437 0,000351647 0 0,702844 -1 1 0,405687 0,914012 0 0,00158629 0 -0,228283 0,00120597 0,00253888 0,00164431 0,000175596 0 0,00135671 0,00253888 0,00167379 0,000340248 0 0,000634719 0,000952079 0,000951978 0,00000565184 0 0,354378 0 1,63012 1,02533 1,59237 1,75745 8,05548 0 0,571319 0,635363 0,531779 0,985683 4,04508 1 1 0 1 1 0 8,05579 8,94455 4,15639 0,669184 3,4872 154 864 2423 2625
culberson13 0,517559 0,518676 0,518113 0,000286705 0 0,491204 0,548103 0,518159 0,00837581 0 0,565382 -0,692308 1 0,153897 0,510153 0 0,104424 0 0,999737 0,517798 0,518807 0,518295 0,000137259 0 0,518055 0,518589 0,518294 0,0000638942 0 0,491204 0,494777 0,494774 0,0000914111 0 0,00302281 1,1674 1,37475 1,02835 1,38212 2,2211 6,98128 0,168177 0,00333705 0,000240865 0,02525 0,331476 3,48177 0 1 0 1 1 0 8,19946 15048 5,47262 -0,544628 6,01725 51816 1753 1142 287
culberson14 0 0 0 0 1 0,000474046 0,00237023 0,00104807 0,000250172 0 0,937513 -1 1 0,875027 0,484074 0 0,00118483 0 -0,228482 0,000770325 0,00189618 0,00112372 0,000133869 0 0,00092439 0,00159991 0,00110844 0,000197227 0 0,000474046 0,000711069 0,000709889 0,0000166786 0 0,367299 0 1,75899 2,71271 1,76728 1,69819 5,2981 0 0,676935 1,52937 0,65643 0,945343 2,71269 1 1 0 1 1 0 8,34759 9,14099 4,77728 0,601441 4,17584 105 2340 1165 1016
culberson15 0 0 0 0 1 0,00123026 0,00287062 0,00182564 0,00022723 0 1 0,114528 1 0,60757 0,130312 0 0,00143501 0 -0,168419 0,00162327 0,00225548 0,00185887 0,000079449 0 0,00173555 0,0020483 0,00184479 0,0000956605 0 0,00123026 0,00143531 0,00143459 0,0000120835 0 0,246412 0 1,51495 1,37712 1,41608 1,31934 5,6558 0 0,412524 0,26863 0,282018 0,623867 2,88204 1 1 0 1 1 0 8,49249 9,9858 6,24709 1,52205 4,72504 183 1289 908 1037
culberson16 0 0 0 0 1 0,00289226 0,00723066 0,00439902 0,00046575 0 0,620708 -0,625083 1 0,19139 0,467943 0 0,00289122 0 -0,125626 0,00404465 0,00498915 0,00445462 0,000137502 0 0,00421505 0,00462126 0,00442147 0,000138902 0 0,00289226 0,00361533 0,00361036 0,0000453188 0 0,204554 0 1,53535 1,02958 1,40354 0,989781 4,7333 0 0,302376 0,00693803 0,191349 0,0168389 2,39289 1 1 0 1 1 0 7,92552 9,73116 5,95735 2,30249 3,65486 440 716 693 2200
culberson17 0 0 0 0 1 0,00289226 0,00723066 0,00439902 0,00046575 0 1 3,05907E-22 1 0,000113676 0,00819766 0 0,00289122 0 -0,125626 0,00404465 0,00498915 0,00445462 0,000137502 0 0,00421505 0,00462126 0,00442147 0,000138902 0 0,00289226 0,00361533 0,00361036 0,0000453188 0 0,204554 0 1,53535 9,49251 1,40354 0,989781 4,7333 0 0,302376 4,71962 0,191349 0,0168389 2,39289 1 1 1 1 1 0 7,92552 9,73116 23,0259 23,0259 -0,50575 440 2552 1074 1147
culberson18 0 0 0 0 1 0,00902613 0,0137767 0,0110549 0,000694095 0 1 0,11788 1 0,667364 0,128279 0 0,00569801 0 -0,0718277 0,0106097 0,0116286 0,0111016 0,000141739 0 0,0108117 0,0112202 0,011066 0,000118883 0 0,00902613 0,00950119 0,00949983 0,0000253206 0 0,135802 0 1,41191 1,32876 1,43092 1,2694 5,85794 0 0,204672 0,256723 0,0635596 0,444469 2,97832 1 1 0 1 0 0 7,65255 10,1066 4,05883 -0,77831 4,83714 1105 1932 319 1348
culberson19 0 0 0 0 1 0,00249584 0,00748752 0,00429044 0,000858597 0 0,936815 -1 1 0,87363 0,486591 0 0,00415628 0 -0,210887 0,00346644 0,00637826 0,00450189 0,000386673 0 0,00403717 0,00524919 0,00446641 0,000384709 0 0,00249584 0,00332779 0,00330358 0,000139825 0 0,339983 0 1,46202 2,70096 1,56405 1,33204 3,5086 0 0,431958 1,52406 0,459088 0,67529 1,88763 1 1 0 1 1 0 7,09257 8,0398 4,12331 0,504775 3,61853 429 2287 1991 751
culberson2 0 0 0 0 1 0,000656383 0,00361011 0,00159767 0,000356227 0 0,987599 -0,0972583 1 0,555023 0,24004 0 0,00164042 0 -0,232303 0,00124713 0,00295372 0,00169855 0,000180281 0 0,00142216 0,00270758 0,00171799 0,000367479 0 0,000656383 0,00131277 0,00127842 0,000101861 0 0,358924 0 1,69669 1,2241 1,86308 1,85525 2,29281 0 0,599075 0,380721 0,669486 1,04899 1,31209 1 1 0 1 1 0 8,02224 8,9118 8,42405 4,35582 4,06823 160 1952 1514 555
culberson20 0 0 0 0 1 0,00090151 0,00292991 0,00145251 0,000243866 0 0,700091 -1 1 0,400182 0,916436 0 0,00135196 0 -0,204363 0,00123958 0,00193825 0,00150246 0,000102453 0 0,00131759 0,00172231 0,00145459 0,000118645 0 0,00090151 0,00112689 0,00112496 0,0000207655 0 0,298783 0 1,69343 1,01622 1,49795 1,4036 4,75185 0 0,575684 0,627725 0,400035 0,70483 2,45682 1 1 0 1 1 0 8,39796 9,56808 4,26466 0,531361 3,7333 145 1481 2040 1606
